Question,Option,Answer,Explanation
13,1,,"Noem een scenario waar het (theoretisch) onmogelijk was om digitale werken die je hebt gekocht, weer door te verkopen, bijvoorbeeld: - computer games die eenmalige online registratie vereisen - muziek die slechts een beperkt aantal keren kan worden gekopieerd - bestanden die alleen werken op een specifiek besturingssysteem en daarom niet kunnen worden verkocht aan iemand die een ander systeem gebruikt - e-books die alleen werken op een bepaalde e-reader - alles met DRM"
14,1,,"We zouden meer lokale ondernemers in Europa hebben die toegang tot tweedehandse computerspellen verzorgen. Bestaande inspanningen op dit gebied worden zeer gewaardeerd door klanten en winkelmanagers. Zonder duidelijke regels voor het beheer van digitale rechten en technische beschermingsmaatregelen voor auteursrechtelijk beschermde inhoud is het onwaarschijnlijk dat er zich een sterke secundaire markt ontwikkelt, voor beide markten. Het kan echter leiden tot Europese secundaire markten, wat momenteel niet mogelijk is."
15,1,,""
16,1,,"Voorbeelden: - Het zou veel gemakkelijker zijn om er achter te komen wie de maker van een werk is en om hen te betalen, omdat er een register zou zijn dat ik dan kan raadplegen. - De wettelijke status van een werk zou veel transparanter zijn - Voor een groot aantal werken is het onmogelijk om te ontdekken wie de maker is (verweesde werken). Als het auteursrecht moet worden geregistreerd, wordt dit probleem opgelost omdat ongeregistreerde werken standaard tot het publiek domein behoren. - Ik wil vaak materiaal produceren en het gewoon algemeen beschikbaar maken voor iedereen zonder hierover weer lastig gevallen te worden. Onder het huidige kader inzake auteursrecht is dit onmogelijk, want ik kan mij niet ontdoen van mijn rechten, zelfs als ik dat wil. - Een registratiesysteem kan waar nodig verschillende auteursrechttermijnen bieden. Zo zou de standaard bijvoorbeeld 10 jaar kunnen zijn (aangezien er maar weinig werken zijn die feitelijk nog commerciële waarde hebben na die termijn), maar hernieuwde registratie zou de auteursrechttermijn kunnen verlengen, bijv. met nog eens tien jaar. Op deze manier kunnen werken die geen commerciële exploitatiewaarde meer hebben in het publieke domein komen en bij dragen aan de vrije cultuur en kennis, terwijl de commerciële belangen van rechthebbenden worden beschermd."
18,1,,"Voorbeelden: - Het register kan een eenvoudig licentiesysteem aanbieden dat het makkelijker voor rechthebbenden maakt om hun producten onder licentie te brengen en betaald te krijgen - Het register kan zorg dragen dat de zichtbaarheid van producten verbetert - Het zou 't makkelijker maken voor mensen die de werken willen hergebruiken om in contact met de makers te komen - De duur van auteursrechttermijnen kan worden gekoppeld aan de registratie"
20,2,,"Let op: Bij deze vraag is het uiterst belangrijk dat u uw antwoord specificeert, want "Nee" kan ofwel betekenen dat de auteursrechttermijnen langer of korter moeten zijn! Dus gelieve te specificeren: De auteursrechttermijnen zijn veel te lang. Ze moeten worden ingekort. Een redelijke beschermingstermijn is volgens Rufus Pollock (Britse econoom) zo'n 15 jaar. Rick Falkvinge en Christian Engström hebben een bescherming gedurende maximaal 25 jaar voorgesteld. De Tsjechische Piratenpartij stelt 5-10 jaar voor."
21,1,,"De Infosoc richtlijn is bedoeld om de Europese digitale interne markt te harmoniseren. In plaats daarvan biedt het volgens sommige waarnemers meer dan 24 triljoen implementatiemogelijkheden (http://webjcli.org/article/view/245/317). De uitzonderingen en beperkingen zijn ook te weinig en te star. Ze zijn te eng geïnterpreteerd, en te verschillend in diverse lidstaten, wat rechtsonzekerheid veroorzaakt voor zowel particuliere gebruikers en  ondernemende gebruikers als voor institutionele gebruikers. Veel lidstaten hebben gekozen voor het niet invoeren van optionele uitzonderingen en beperkingen om de complexiteit van het implementeren van EU-wetgeving te beperken. Dit heeft voor veel groepen, zoals visueel gehandicapten of bibliothecarissen, docenten of studenten, tot een buitengewoon onzekere situatie gezorgd met betrekking tot de rechthebbenden."
22,1,,"Alle uitzonderingen moeten verplicht worden gesteld. Ook moet een mogelijkheid om uitzonderingen ruimer op te vatten in een toekomstige verordening worden opgenomen."
23,1,,"Ja, er moet een uitzondering voor officiële teksten zijn zoals die van de overheid. Ze moeten niet onder het auteursrecht vallen. Er moet een uitzondering op het auteursrecht zijn voor remixen. Het referentie- en citaatrecht moet, in het bijzonder, ook audio en video omvatten. Zo ook voor educatieve remixen (remixen om mensen te onderwijzen). Een citaat moet worden gedefinieerd in termen van wat er nodig is voor het citaat, niet in termen van wat de rechthebbende aan licenties kan scoren. Parodie, referentie, citaat en educatieve remixen, moet audio, afbeeldingen en video omvatten (audio-visueel). Concurrentie op de afgeleide markten (reclame) zal enorme vooruitgang maken door een uitzondering op remixen, dat commercieel remixen (dj's, adverteerders, etc.) niet uitsluit. Dus is het belangrijk dat deze uitzonderingen ook betrekking zullen hebben op commerciële activiteiten. (zie art 5.4: http://copyrightcode.eu/index.php?websiteid=3) Een ongelimiteerde uitzondering of flexibiliteit, die de rechter de mogelijkheid biedt om analoog te redeneren met andere uitzonderingen (zoals een Europese fair-use) zou niet verkeerd zijn. In Zweden werd de redelijkheidseis op de uitzondering voor het onderwijs ingevoerd, opdat leerkrachten tot ongeveer 15 pagina's tekst kunnen kopiëren. Momenteel zijn alle schoolboeken voorzien van hoofdstukken van 16 pagina's, waarbij alle leerkrachten structureel het auteursrecht schenden en hen wordt gevraagd om materiaal te kopiëren in plaats van nieuwe boeken te kopen. Het is duidelijk dat het auteursrecht meer zou moeten bijdragen tot het behoud van een goede concurrentie en lage prijzen van studieboeken, terwijl tegelijkertijd zij die 16 in plaats van 15 pagina's kopiëren niet gecriminaliseerd worden. Uitzonderingen en beperkingen voor tekst- en data-mining? We kregen een goed voorstel binnen om hier een uitzondering te zetten voor handleidingen die nodig zijn voor het onderhoud van oude huishoudelijke apparatuur. Dit om de levensduur van deze apparatuur te verlengen. Hetzelfde zou natuurlijk voor apparatuur in het algemeen kunnen gelden."
24,1,,"Nieuwe technologische ontwikkelingen kunnen ertoe leiden dat copyrightregelgeving de innovatie en uitwisseling van cultuur gaat verstikken. Maar in het bijzonder is het noodzakelijk dat er meer rechtszekerheid ontstaat voor gebruikers van cultuurproducten. Momenteel zijn het de rechthebbenden die van alle rechtszekerheden en alle voorrechten genieten - een eindgebruiker kan hier nooit zeker van zijn. Dit moet veranderen - het met behulp van cultuur opbouwen van de Europese markten en Europese vriendschappen is ook bevorderlijk voor de EU."
25,1,,"Invoering van een Fair Use clausule: Dit zou het copyright-kader meer flexibiliteit bieden om op toekomstige technologische ontwikkelingen en innovatieve toepassingen van cultuur te reageren, zoals ten behoeve van berichtgeving en artistieke expressie. Ook zou het ervoor zorgen dat het auteursrecht voldoet aan de doelstelling van het bevorderen van cultuur en innovatie, en het deze niet beperkt. Recht om te remixen: In het bijzonder het recht op aanhalen en verwijzen moet ook audio en video dekken. Zo ook voor educatieve remixen (remixen om mensen te onderwijzen). Parodie, verwijzing, citaat en educatieve remixen moeten audio, afbeeldingen en video omvatten (audio-visueel). Het recht voor private personen om op gemakkelijke wijze openbare werken te produceren: We dienen een specifiek openbaarmakingsrecht in te voeren betreffende privé-personen die niet- commercieel handelen. Dit is de meest intuïtieve manier van het gebruik van het internet, en een die ook veel vernieuwing gebracht heeft op het gebied van p2p-technologieën, distributie, in creatieve uitingen en sociale netwerken (Skype, bijvoorbeeld)."
26,1,,"Leg dan uit waarom en geef aan naar welke uitzonderingen u verwijst"
58,1,,"Omdat normaal Internetgebruik expliciet het delen, aanpassen en remixen van inhoud bevat, kan het zo zijn dat je een situatie tegenkwam waar je niet helemaal zeker was hoe je ermee moet omgaan betreffende copyrightregels."
80,1,,"Waarom denk je dat het online delen van informatie en kennis nodig is in de 21e eeuw? Weerhoudt de angst voor potentiële juridische gevolgen je ervan om nuttige inhoud te delen? Leg je ervaringen hiermee uit."
